epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0751,0.84275,3.36038,1.15571,0.01808,0.95,0.22523,0.19783,0.48179,3.76054,0.86156,0.0006,0.0006,0.0946
2,45.5799,0.89672,3.2353,1.16236,0.02952,1,0.29314,0.23457,0.4758,3.72505,0.84075,0.00127426,0.00127426,0.0882743
3,68.8673,0.84357,2.96986,1.20557,0.02617,1,0.3771,0.32586,0.48966,3.69761,0.85396,0.0019208,0.0019208,0.0819208
4,92.3199,0.74841,2.75928,1.12758,0.02316,1,0.36033,0.27523,0.5766,3.69499,0.90267,0.00253962,0.00253962,0.0755396
5,116.016,0.77965,2.52912,1.16779,0.01337,1,0.47453,0.38632,0.59435,3.57909,0.92796,0.00313072,0.00313072,0.0691307
6,139.206,0.7623,2.28546,1.18199,0.01073,1,0.48533,0.3914,0.56233,3.54172,0.90365,0.0036941,0.0036941,0.0626941
7,162.19,0.80562,2.03976,1.13074,0.00974,1,0.60705,0.44187,0.61516,3.48031,1.00376,0.00422976,0.00422976,0.0562298
8,185.712,0.72864,1.88898,1.11836,0.31274,0.65618,0.65995,0.45258,0.76181,3.51511,1.10627,0.0047377,0.0047377,0.0497377
9,209.251,0.76346,1.71704,1.09549,0.99752,0.42356,0.69355,0.52775,0.70993,3.17263,1.06271,0.00521792,0.00521792,0.0432179
10,231.281,0.79432,1.67164,1.12397,0.94436,0.59627,0.73585,0.54165,0.7381,3.03413,1.08131,0.00567042,0.00567042,0.0366704
11,252.82,0.77157,1.49333,1.08058,0.75236,0.43529,0.67862,0.50393,0.77423,3.14528,1.08031,0.0060952,0.0060952,0.0300952
12,276.362,0.74516,1.49841,1.07495,0.92569,0.57306,0.75153,0.58689,0.81281,2.87913,1.09098,0.00649226,0.00649226,0.0234923
13,299.523,0.79882,1.53349,1.1294,0.89603,0.67887,0.77483,0.63093,0.75346,2.72219,1.07877,0.0068616,0.0068616,0.0168616
14,322.6,0.74275,1.39954,1.04047,0.71797,0.54167,0.71669,0.55824,0.88589,2.81786,1.17644,0.00720322,0.00720322,0.0102032
15,345.606,0.78835,1.37569,1.06003,0.69853,0.6299,0.74331,0.5728,0.88342,2.69387,1.12726,0.007228,0.007228,0.007228
16,368.677,0.78622,1.45173,1.12779,0.7872,0.58597,0.69662,0.54534,1.12281,2.82904,1.47522,0.00703,0.00703,0.00703
17,391.137,0.78307,1.30117,1.086,0.82654,0.63892,0.80084,0.56379,1.19484,2.34558,1.5202,0.006832,0.006832,0.006832
18,414.549,0.74875,1.26759,1.07974,0.92022,0.7799,0.84989,0.59615,1.14167,2.36961,1.6176,0.006634,0.006634,0.006634
19,437.991,0.7843,1.3532,1.10471,0.74678,0.72752,0.71899,0.53674,1.08819,2.56193,1.48129,0.006436,0.006436,0.006436
20,461.655,0.74173,1.31804,1.10396,0.5736,0.60587,0.59626,0.43055,0.97317,2.5857,1.28508,0.006238,0.006238,0.006238
21,485.442,0.80319,1.31524,1.09507,0.6659,0.57376,0.6291,0.44328,1.03119,2.55269,1.35463,0.00604,0.00604,0.00604
22,509.221,0.75034,1.32025,1.09217,0.52738,0.6604,0.58127,0.43014,1.00386,2.71421,1.40438,0.005842,0.005842,0.005842
23,531.852,0.75449,1.25798,1.10042,0.42536,0.669,0.53603,0.37936,1.01133,2.68328,1.38699,0.005644,0.005644,0.005644
24,555.305,0.72997,1.25281,1.07787,0.51953,0.83333,0.62147,0.50775,0.90633,2.33226,1.19099,0.005446,0.005446,0.005446
25,578.49,0.69155,1.15488,1.01606,0.6227,0.65638,0.66273,0.46529,0.93705,2.37949,1.26384,0.005248,0.005248,0.005248
26,601.187,0.68704,1.14347,1.06114,0.69298,0.65371,0.67224,0.49134,0.83662,2.31675,1.13557,0.00505,0.00505,0.00505
27,624.107,0.75594,1.27812,1.12047,0.69315,0.83333,0.74772,0.61673,0.77683,2.16144,1.09268,0.004852,0.004852,0.004852
28,645.337,0.62733,1.06755,1.00572,0.83003,0.75082,0.80447,0.62681,0.78915,2.15179,1.14777,0.004654,0.004654,0.004654
